areaCode,areaName,areaType,date,cumVaccinationCompleteCoverageByVaccinationDatePercentage
E12000005,West Midlands,region,8/23/2021,64.2
E12000005,West Midlands,region,8/22/2021,64
E12000005,West Midlands,region,8/21/2021,63.9
E12000005,West Midlands,region,8/20/2021,63.5
E12000005,West Midlands,region,8/19/2021,63.3
E12000005,West Midlands,region,8/18/2021,63
E12000005,West Midlands,region,8/17/2021,62.7
E12000005,West Midlands,region,8/16/2021,62.5
E12000005,West Midlands,region,8/15/2021,62.3
E12000005,West Midlands,region,8/14/2021,62.2
E12000005,West Midlands,region,8/13/2021,61.9
E12000005,West Midlands,region,8/12/2021,61.7
E12000005,West Midlands,region,8/11/2021,61.3
E12000005,West Midlands,region,8/10/2021,61.1
E12000005,West Midlands,region,8/9/2021,60.9
E12000005,West Midlands,region,8/8/2021,60.7
E12000005,West Midlands,region,8/7/2021,60.5
E12000005,West Midlands,region,8/6/2021,60.2
E12000005,West Midlands,region,8/5/2021,60
E12000005,West Midlands,region,8/4/2021,59.8
E12000005,West Midlands,region,8/3/2021,59.5
E12000005,West Midlands,region,8/2/2021,59.4
E12000005,West Midlands,region,8/1/2021,59.2
E12000005,West Midlands,region,7/31/2021,59.1
E12000005,West Midlands,region,7/30/2021,58.8
E12000005,West Midlands,region,7/29/2021,58.6
E12000005,West Midlands,region,7/28/2021,58.4
E12000005,West Midlands,region,7/27/2021,58.2
E12000005,West Midlands,region,7/26/2021,58
E12000005,West Midlands,region,7/25/2021,57.8
E12000005,West Midlands,region,7/24/2021,57.7
E12000005,West Midlands,region,7/23/2021,57.4
E12000005,West Midlands,region,7/22/2021,57.1
E12000005,West Midlands,region,7/21/2021,56.8
E12000005,West Midlands,region,7/20/2021,56.6
E12000005,West Midlands,region,7/19/2021,56.4
E12000005,West Midlands,region,7/18/2021,56.2
E12000005,West Midlands,region,7/17/2021,56.1
E12000005,West Midlands,region,7/16/2021,55.7
E12000005,West Midlands,region,7/15/2021,55.5
E12000005,West Midlands,region,7/14/2021,55.1
E12000005,West Midlands,region,7/13/2021,54.9
E12000005,West Midlands,region,7/12/2021,54.7
E12000005,West Midlands,region,7/11/2021,54.6
E12000005,West Midlands,region,7/10/2021,54.4
E12000005,West Midlands,region,7/9/2021,54.2
E12000005,West Midlands,region,7/8/2021,54
E12000005,West Midlands,region,7/7/2021,53.8
E12000005,West Midlands,region,7/6/2021,53.6
E12000005,West Midlands,region,7/5/2021,53.4
E12000005,West Midlands,region,7/4/2021,53.2
E12000005,West Midlands,region,7/3/2021,53.1
E12000005,West Midlands,region,7/2/2021,52.8
E12000005,West Midlands,region,7/1/2021,52.6
E12000005,West Midlands,region,6/30/2021,52.4
E12000005,West Midlands,region,6/29/2021,52.3
E12000005,West Midlands,region,6/28/2021,52.1
E12000005,West Midlands,region,6/27/2021,51.9
E12000005,West Midlands,region,6/26/2021,51.7
E12000005,West Midlands,region,6/25/2021,51.4
E12000005,West Midlands,region,6/24/2021,51.3
E12000005,West Midlands,region,6/23/2021,51
E12000005,West Midlands,region,6/22/2021,50.8
E12000005,West Midlands,region,6/21/2021,50.7
E12000005,West Midlands,region,6/20/2021,50.5
E12000005,West Midlands,region,6/19/2021,50.4
E12000005,West Midlands,region,6/18/2021,50.1
E12000005,West Midlands,region,6/17/2021,49.9
E12000005,West Midlands,region,6/16/2021,49.6
E12000005,West Midlands,region,6/15/2021,49.3
E12000005,West Midlands,region,6/14/2021,49
E12000005,West Midlands,region,6/13/2021,48.8
E12000005,West Midlands,region,6/12/2021,48.5
E12000005,West Midlands,region,6/11/2021,47.9
E12000005,West Midlands,region,6/10/2021,47.5
E12000005,West Midlands,region,6/9/2021,47
E12000005,West Midlands,region,6/8/2021,46.6
E12000005,West Midlands,region,6/7/2021,46.2
E12000005,West Midlands,region,6/6/2021,45.8
E12000005,West Midlands,region,6/5/2021,45.4
E12000005,West Midlands,region,6/4/2021,44.6
E12000005,West Midlands,region,6/3/2021,44
E12000005,West Midlands,region,6/2/2021,43.5
E12000005,West Midlands,region,6/1/2021,43
E12000005,West Midlands,region,5/31/2021,42.5
E12000005,West Midlands,region,5/30/2021,42.2
E12000005,West Midlands,region,5/29/2021,41.9
E12000005,West Midlands,region,5/28/2021,41.2
E12000005,West Midlands,region,5/27/2021,40.5
E12000005,West Midlands,region,5/26/2021,39.7
E12000005,West Midlands,region,5/25/2021,38.9
E12000005,West Midlands,region,5/24/2021,38.2
E12000005,West Midlands,region,5/23/2021,37.6
E12000005,West Midlands,region,5/22/2021,37.1
E12000005,West Midlands,region,5/21/2021,36
E12000005,West Midlands,region,5/20/2021,35.3
E12000005,West Midlands,region,5/19/2021,34.5
E12000005,West Midlands,region,5/18/2021,33.9
E12000005,West Midlands,region,5/17/2021,33.3
E12000005,West Midlands,region,5/16/2021,32.9
E12000005,West Midlands,region,5/15/2021,32.6
E12000005,West Midlands,region,5/14/2021,32
E12000005,West Midlands,region,5/13/2021,31.3
E12000005,West Midlands,region,5/12/2021,30.4
E12000005,West Midlands,region,5/11/2021,29.5
E12000005,West Midlands,region,5/10/2021,28.9
E12000005,West Midlands,region,5/9/2021,28.6
E12000005,West Midlands,region,5/8/2021,28.3
E12000005,West Midlands,region,5/7/2021,27.6
E12000005,West Midlands,region,5/6/2021,26.8
E12000005,West Midlands,region,5/5/2021,25.9
E12000005,West Midlands,region,5/4/2021,25.2
E12000005,West Midlands,region,5/3/2021,24.8
E12000005,West Midlands,region,5/2/2021,24.6
E12000005,West Midlands,region,5/1/2021,24.3
E12000005,West Midlands,region,4/30/2021,23.6
E12000005,West Midlands,region,4/29/2021,22.9
E12000005,West Midlands,region,4/28/2021,22.1
E12000005,West Midlands,region,4/27/2021,21.3
E12000005,West Midlands,region,4/26/2021,20.8
E12000005,West Midlands,region,4/25/2021,20.2
E12000005,West Midlands,region,4/24/2021,19.8
E12000005,West Midlands,region,4/23/2021,18.9
E12000005,West Midlands,region,4/22/2021,18.1
E12000005,West Midlands,region,4/21/2021,17.4
E12000005,West Midlands,region,4/20/2021,16.8
E12000005,West Midlands,region,4/19/2021,16.3
E12000005,West Midlands,region,4/18/2021,15.9
E12000005,West Midlands,region,4/17/2021,15.5
E12000005,West Midlands,region,4/16/2021,14.8
E12000005,West Midlands,region,4/15/2021,13.9
E12000005,West Midlands,region,4/14/2021,13.2
E12000005,West Midlands,region,4/13/2021,12.6
E12000005,West Midlands,region,4/12/2021,12.2
E12000005,West Midlands,region,4/11/2021,11.8
E12000005,West Midlands,region,4/10/2021,11.5
E12000005,West Midlands,region,4/9/2021,10.7
E12000005,West Midlands,region,4/8/2021,10
E12000005,West Midlands,region,4/7/2021,9.4
E12000005,West Midlands,region,4/6/2021,8.8
E12000005,West Midlands,region,4/5/2021,8.4
E12000005,West Midlands,region,4/4/2021,8.3
E12000005,West Midlands,region,4/3/2021,8.2
E12000005,West Midlands,region,4/2/2021,8
E12000005,West Midlands,region,4/1/2021,7.6
E12000005,West Midlands,region,3/31/2021,6.8
E12000005,West Midlands,region,3/30/2021,6
E12000005,West Midlands,region,3/29/2021,5.6
E12000005,West Midlands,region,3/28/2021,5.4
E12000005,West Midlands,region,3/27/2021,5.2
E12000005,West Midlands,region,3/26/2021,4.7
E12000005,West Midlands,region,3/25/2021,4.1
E12000005,West Midlands,region,3/24/2021,3.7
E12000005,West Midlands,region,3/23/2021,3.3
E12000005,West Midlands,region,3/22/2021,3.1
E12000005,West Midlands,region,3/21/2021,3
E12000005,West Midlands,region,3/20/2021,3
E12000005,West Midlands,region,3/19/2021,2.8
E12000005,West Midlands,region,3/18/2021,2.6
E12000005,West Midlands,region,3/17/2021,2.4
E12000005,West Midlands,region,3/16/2021,2.2
E12000005,West Midlands,region,3/15/2021,2.1
E12000005,West Midlands,region,3/14/2021,2.1
E12000005,West Midlands,region,3/13/2021,2.1
E12000005,West Midlands,region,3/12/2021,2
E12000005,West Midlands,region,3/11/2021,1.9
E12000005,West Midlands,region,3/10/2021,1.8
E12000005,West Midlands,region,3/9/2021,1.7
E12000005,West Midlands,region,3/8/2021,1.6
E12000005,West Midlands,region,3/7/2021,1.6
E12000005,West Midlands,region,3/6/2021,1.6
E12000005,West Midlands,region,3/5/2021,1.5
E12000005,West Midlands,region,3/4/2021,1.4
E12000005,West Midlands,region,3/3/2021,1.3
E12000005,West Midlands,region,3/2/2021,1.1
E12000005,West Midlands,region,3/1/2021,1.1
E12000005,West Midlands,region,2/28/2021,1.1
E12000005,West Midlands,region,2/27/2021,1
E12000005,West Midlands,region,2/26/2021,1
E12000005,West Midlands,region,2/25/2021,1
E12000005,West Midlands,region,2/24/2021,0.9
E12000005,West Midlands,region,2/23/2021,0.9
E12000005,West Midlands,region,2/22/2021,0.9
E12000005,West Midlands,region,2/21/2021,0.9
E12000005,West Midlands,region,2/20/2021,0.9
E12000005,West Midlands,region,2/19/2021,0.9
E12000005,West Midlands,region,2/18/2021,0.9
E12000005,West Midlands,region,2/17/2021,0.9
E12000005,West Midlands,region,2/16/2021,0.9
E12000005,West Midlands,region,2/15/2021,0.8
E12000005,West Midlands,region,2/14/2021,0.8
E12000005,West Midlands,region,2/13/2021,0.8
E12000005,West Midlands,region,2/12/2021,0.8
E12000005,West Midlands,region,2/11/2021,0.8
E12000005,West Midlands,region,2/10/2021,0.8
E12000005,West Midlands,region,2/9/2021,0.8
E12000005,West Midlands,region,2/8/2021,0.8
E12000005,West Midlands,region,2/7/2021,0.8
E12000005,West Midlands,region,2/6/2021,0.8
E12000005,West Midlands,region,2/5/2021,0.8
E12000005,West Midlands,region,2/4/2021,0.8
E12000005,West Midlands,region,2/3/2021,0.8
E12000005,West Midlands,region,2/2/2021,0.8
E12000005,West Midlands,region,2/1/2021,0.8
E12000005,West Midlands,region,1/31/2021,0.8
E12000005,West Midlands,region,1/30/2021,0.8
E12000005,West Midlands,region,1/29/2021,0.8
E12000005,West Midlands,region,1/28/2021,0.8
E12000005,West Midlands,region,1/27/2021,0.8
E12000005,West Midlands,region,1/26/2021,0.8
E12000005,West Midlands,region,1/25/2021,0.8
E12000005,West Midlands,region,1/24/2021,0.8
E12000005,West Midlands,region,1/23/2021,0.8
E12000005,West Midlands,region,1/22/2021,0.8
E12000005,West Midlands,region,1/21/2021,0.8
E12000005,West Midlands,region,1/20/2021,0.8
E12000005,West Midlands,region,1/19/2021,0.8
E12000005,West Midlands,region,1/18/2021,0.8
E12000005,West Midlands,region,1/17/2021,0.8
E12000005,West Midlands,region,1/16/2021,0.8
E12000005,West Midlands,region,1/15/2021,0.8
E12000005,West Midlands,region,1/14/2021,0.8
E12000005,West Midlands,region,1/13/2021,0.8
E12000005,West Midlands,region,1/12/2021,0.8
E12000005,West Midlands,region,1/11/2021,0.8
E12000005,West Midlands,region,1/10/2021,0.8
E12000005,West Midlands,region,1/9/2021,0.7
E12000005,West Midlands,region,1/8/2021,0.5
E12000005,West Midlands,region,1/7/2021,0.4
E12000005,West Midlands,region,1/6/2021,0.3
E12000005,West Midlands,region,1/5/2021,0.1
E12000005,West Midlands,region,1/4/2021,0.1
E12000006,East of England,region,10/10/2021,72.9
E12000006,East of England,region,10/9/2021,72.9
E12000006,East of England,region,10/8/2021,72.8
E12000006,East of England,region,10/7/2021,72.8
E12000006,East of England,region,10/6/2021,72.7
E12000006,East of England,region,10/5/2021,72.7
E12000006,East of England,region,10/4/2021,72.6
E12000006,East of England,region,10/3/2021,72.6
E12000006,East of England,region,10/2/2021,72.6
E12000006,East of England,region,10/1/2021,72.5
E12000006,East of England,region,9/30/2021,72.5
E12000006,East of England,region,9/29/2021,72.4
E12000006,East of England,region,9/28/2021,72.3
E12000006,East of England,region,9/27/2021,72.3
E12000006,East of England,region,9/26/2021,72.3
E12000006,East of England,region,9/25/2021,72.2
E12000006,East of England,region,9/24/2021,72.1
E12000006,East of England,region,9/23/2021,72
E12000006,East of England,region,9/22/2021,72
E12000006,East of England,region,9/21/2021,71.9
E12000006,East of England,region,9/20/2021,71.8
E12000006,East of England,region,9/19/2021,71.7
E12000006,East of England,region,9/18/2021,71.7
E12000006,East of England,region,9/17/2021,71.6
E12000006,East of England,region,9/16/2021,71.4
E12000006,East of England,region,9/15/2021,71.3
E12000006,East of England,region,9/14/2021,71.2
E12000006,East of England,region,9/13/2021,71.1
E12000006,East of England,region,9/12/2021,71
E12000006,East of England,region,9/11/2021,70.9
E12000006,East of England,region,9/10/2021,70.7
E12000006,East of England,region,9/9/2021,70.5
E12000006,East of England,region,9/8/2021,70.4
E12000006,East of England,region,9/7/2021,70.2
E12000006,East of England,region,9/6/2021,70.1
E12000006,East of England,region,9/5/2021,70
E12000006,East of England,region,9/4/2021,69.9
E12000006,East of England,region,9/3/2021,69.7
E12000006,East of England,region,9/2/2021,69.4
E12000006,East of England,region,9/1/2021,69.2
E12000006,East of England,region,8/31/2021,69.1
E12000006,East of England,region,8/30/2021,68.8
E12000006,East of England,region,8/29/2021,68.8
E12000006,East of England,region,8/28/2021,68.7
E12000006,East of England,region,8/27/2021,68.5
E12000006,East of England,region,8/26/2021,68.2
E12000006,East of England,region,8/25/2021,68
E12000006,East of England,region,8/24/2021,67.7
E12000006,East of England,region,8/23/2021,67.5
E12000006,East of England,region,8/22/2021,67.3
E12000006,East of England,region,8/21/2021,67.1
E12000006,East of England,region,8/20/2021,66.9
E12000006,East of England,region,8/19/2021,66.6
E12000006,East of England,region,8/18/2021,66.3
E12000006,East of England,region,8/17/2021,66
E12000006,East of England,region,8/16/2021,65.8
E12000006,East of England,region,8/15/2021,65.6
E12000006,East of England,region,8/14/2021,65.5
E12000006,East of England,region,8/13/2021,65.2
E12000006,East of England,region,8/12/2021,64.9
E12000006,East of England,region,8/11/2021,64.6
E12000006,East of England,region,8/10/2021,64.3
E12000006,East of England,region,8/9/2021,64.1
E12000006,East of England,region,8/8/2021,64
E12000006,East of England,region,8/7/2021,63.8
E12000006,East of England,region,8/6/2021,63.4
E12000006,East of England,region,8/5/2021,63.2
E12000006,East of England,region,8/4/2021,62.9
E12000006,East of England,region,8/3/2021,62.7
E12000006,East of England,region,8/2/2021,62.5
E12000006,East of England,region,8/1/2021,62.4
E12000006,East of England,region,7/31/2021,62.2
E12000006,East of England,region,7/30/2021,61.8
E12000006,East of England,region,7/29/2021,61.5
E12000006,East of England,region,7/28/2021,61.2
E12000006,East of England,region,7/27/2021,60.9
E12000006,East of England,region,7/26/2021,60.7
E12000006,East of England,region,7/25/2021,60.5
E12000006,East of England,region,7/24/2021,60.3
E12000006,East of England,region,7/23/2021,60
E12000006,East of England,region,7/22/2021,59.7
E12000006,East of England,region,7/21/2021,59.4
E12000006,East of England,region,7/20/2021,59.1
E12000006,East of England,region,7/19/2021,58.9
E12000006,East of England,region,7/18/2021,58.7
E12000006,East of England,region,7/17/2021,58.6
E12000006,East of England,region,7/16/2021,58.1
E12000006,East of England,region,7/15/2021,57.8
E12000006,East of England,region,7/14/2021,57.4
E12000006,East of England,region,7/13/2021,57.1
E12000006,East of England,region,7/12/2021,56.9
E12000006,East of England,region,7/11/2021,56.7
E12000006,East of England,region,7/10/2021,56.6
E12000006,East of England,region,7/9/2021,56.3
E12000006,East of England,region,7/8/2021,56
E12000006,East of England,region,7/7/2021,55.7
E12000006,East of England,region,7/6/2021,55.5
E12000006,East of England,region,7/5/2021,55.3
E12000006,East of England,region,7/4/2021,55.1
E12000006,East of England,region,7/3/2021,54.9
E12000006,East of England,region,7/2/2021,54.6
E12000006,East of England,region,7/1/2021,54.4
E12000006,East of England,region,6/30/2021,54.1
E12000006,East of England,region,6/29/2021,53.9
E12000006,East of England,region,6/28/2021,53.7
E12000006,East of England,region,6/27/2021,53.5
E12000006,East of England,region,6/26/2021,53.3
E12000006,East of England,region,6/25/2021,53
E12000006,East of England,region,6/24/2021,52.7
E12000006,East of England,region,6/23/2021,52.5
E12000006,East of England,region,6/22/2021,52.3
E12000006,East of England,region,6/21/2021,52
E12000006,East of England,region,6/20/2021,51.9
E12000006,East of England,region,6/19/2021,51.7
E12000006,East of England,region,6/18/2021,51.3
E12000006,East of England,region,6/17/2021,51
E12000006,East of England,region,6/16/2021,50.7
E12000006,East of England,region,6/15/2021,50.4
E12000006,East of England,region,6/14/2021,50
E12000006,East of England,region,6/13/2021,49.6
E12000006,East of England,region,6/12/2021,49.4
E12000006,East of England,region,6/11/2021,48.8
E12000006,East of England,region,6/10/2021,48.4
E12000006,East of England,region,6/9/2021,47.9
E12000006,East of England,region,6/8/2021,47.4
E12000006,East of England,region,6/7/2021,46.9
E12000006,East of England,region,6/6/2021,46.4
E12000006,East of England,region,6/5/2021,46
E12000006,East of England,region,6/4/2021,45.2
E12000006,East of England,region,6/3/2021,44.6
E12000006,East of England,region,6/2/2021,44
E12000006,East of England,region,6/1/2021,43.4
E12000006,East of England,region,5/31/2021,42.8
E12000006,East of England,region,5/30/2021,42.4
E12000006,East of England,region,5/29/2021,42.1
E12000006,East of England,region,5/28/2021,41.3
E12000006,East of England,region,5/27/2021,40.6
E12000006,East of England,region,5/26/2021,39.9
E12000006,East of England,region,5/25/2021,39.1
E12000006,East of England,region,5/24/2021,38.6
E12000006,East of England,region,5/23/2021,38.1
E12000006,East of England,region,5/22/2021,37.5
E12000006,East of England,region,5/21/2021,36.4
E12000006,East of England,region,5/20/2021,35.7
E12000006,East of England,region,5/19/2021,35
E12000006,East of England,region,5/18/2021,34.3
E12000006,East of England,region,5/17/2021,33.7
E12000006,East of England,region,5/16/2021,33.3
E12000006,East of England,region,5/15/2021,33
E12000006,East of England,region,5/14/2021,32.4
E12000006,East of England,region,5/13/2021,31.8
E12000006,East of England,region,5/12/2021,31
E12000006,East of England,region,5/11/2021,30.2
E12000006,East of England,region,5/10/2021,29.6
E12000006,East of England,region,5/9/2021,29.3
E12000006,East of England,region,5/8/2021,29.1
E12000006,East of England,region,5/7/2021,28.4
E12000006,East of England,region,5/6/2021,27.5
E12000006,East of England,region,5/5/2021,26.8
E12000006,East of England,region,5/4/2021,26.1
E12000006,East of England,region,5/3/2021,25.7
E12000006,East of England,region,5/2/2021,25.6
E12000006,East of England,region,5/1/2021,25.3
E12000006,East of England,region,4/30/2021,24.7
E12000006,East of England,region,4/29/2021,24
E12000006,East of England,region,4/28/2021,23.3
E12000006,East of England,region,4/27/2021,22.5
E12000006,East of England,region,4/26/2021,21.9
E12000006,East of England,region,4/25/2021,21.4
E12000006,East of England,region,4/24/2021,20.9
E12000006,East of England,region,4/23/2021,19.9
E12000006,East of England,region,4/22/2021,19.2
E12000006,East of England,region,4/21/2021,18.6
E12000006,East of England,region,4/20/2021,18
E12000006,East of England,region,4/19/2021,17.6
E12000006,East of England,region,4/18/2021,17.2
E12000006,East of England,region,4/17/2021,16.8
E12000006,East of England,region,4/16/2021,15.8
E12000006,East of England,region,4/15/2021,14.9
E12000006,East of England,region,4/14/2021,14.2
E12000006,East of England,region,4/13/2021,13.6
E12000006,East of England,region,4/12/2021,13.2
E12000006,East of England,region,4/11/2021,12.8
E12000006,East of England,region,4/10/2021,12.3
E12000006,East of England,region,4/9/2021,11.3
E12000006,East of England,region,4/8/2021,10.2
E12000006,East of England,region,4/7/2021,9.2
E12000006,East of England,region,4/6/2021,8.3
E12000006,East of England,region,4/5/2021,8
E12000006,East of England,region,4/4/2021,7.8
E12000006,East of England,region,4/3/2021,7.7
E12000006,East of England,region,4/2/2021,7.3
E12000006,East of England,region,4/1/2021,6.7
E12000006,East of England,region,3/31/2021,5.9
E12000006,East of England,region,3/30/2021,5.4
E12000006,East of England,region,3/29/2021,4.9
E12000006,East of England,region,3/28/2021,4.7
E12000006,East of England,region,3/27/2021,4.5
E12000006,East of England,region,3/26/2021,4.1
E12000006,East of England,region,3/25/2021,3.8
E12000006,East of England,region,3/24/2021,3.5
E12000006,East of England,region,3/23/2021,3.2
E12000006,East of England,region,3/22/2021,2.9
E12000006,East of England,region,3/21/2021,2.8
E12000006,East of England,region,3/20/2021,2.7
E12000006,East of England,region,3/19/2021,2.6
E12000006,East of England,region,3/18/2021,2.4
E12000006,East of England,region,3/17/2021,2.2
E12000006,East of England,region,3/16/2021,2.1
E12000006,East of England,region,3/15/2021,2
E12000006,East of England,region,3/14/2021,2
E12000006,East of England,region,3/13/2021,1.9
E12000006,East of England,region,3/12/2021,1.9
E12000006,East of England,region,3/11/2021,1.8
E12000006,East of England,region,3/10/2021,1.7
E12000006,East of England,region,3/9/2021,1.6
E12000006,East of England,region,3/8/2021,1.5
E12000006,East of England,region,3/7/2021,1.5
E12000006,East of England,region,3/6/2021,1.5
E12000006,East of England,region,3/5/2021,1.4
E12000006,East of England,region,3/4/2021,1.4
E12000006,East of England,region,3/3/2021,1.3
E12000006,East of England,region,3/2/2021,1.2
E12000006,East of England,region,3/1/2021,1.2
E12000006,East of England,region,2/28/2021,1.2
E12000006,East of England,region,2/27/2021,1.2
E12000006,East of England,region,2/26/2021,1.1
E12000006,East of England,region,2/25/2021,1.1
E12000006,East of England,region,2/24/2021,1.1
E12000006,East of England,region,2/23/2021,1
E12000006,East of England,region,2/22/2021,1
E12000006,East of England,region,2/21/2021,1
E12000006,East of England,region,2/20/2021,1
E12000006,East of England,region,2/19/2021,1
E12000006,East of England,region,2/18/2021,1
E12000006,East of England,region,2/17/2021,1
E12000006,East of England,region,2/16/2021,1
E12000006,East of England,region,2/15/2021,1
E12000006,East of England,region,2/14/2021,1
E12000006,East of England,region,2/13/2021,1
E12000006,East of England,region,2/12/2021,0.9
E12000006,East of England,region,2/11/2021,0.9
E12000006,East of England,region,2/10/2021,0.9
E12000006,East of England,region,2/9/2021,0.9
E12000006,East of England,region,2/8/2021,0.9
E12000006,East of England,region,2/7/2021,0.9
E12000006,East of England,region,2/6/2021,0.9
E12000006,East of England,region,2/5/2021,0.9
E12000006,East of England,region,2/4/2021,0.9
E12000006,East of England,region,2/3/2021,0.9
E12000006,East of England,region,2/2/2021,0.9
E12000006,East of England,region,2/1/2021,0.9
E12000006,East of England,region,1/31/2021,0.9
E12000006,East of England,region,1/30/2021,0.9
E12000006,East of England,region,1/29/2021,0.9
E12000006,East of England,region,1/28/2021,0.9
E12000006,East of England,region,1/27/2021,0.9
E12000006,East of England,region,1/26/2021,0.9
E12000006,East of England,region,1/25/2021,0.9
E12000006,East of England,region,1/24/2021,0.9
E12000006,East of England,region,1/23/2021,0.9
E12000006,East of England,region,1/22/2021,0.9
E12000006,East of England,region,1/21/2021,0.9
E12000006,East of England,region,1/20/2021,0.9
E12000006,East of England,region,1/19/2021,0.9
E12000006,East of England,region,1/18/2021,0.9
E12000006,East of England,region,1/17/2021,0.9
E12000006,East of England,region,1/16/2021,0.9
E12000006,East of England,region,1/15/2021,0.9
E12000006,East of England,region,1/14/2021,0.9
E12000006,East of England,region,1/13/2021,0.9
E12000006,East of England,region,1/12/2021,0.9
E12000006,East of England,region,1/11/2021,0.9
E12000006,East of England,region,1/10/2021,0.8
E12000006,East of England,region,1/9/2021,0.8
E12000006,East of England,region,1/8/2021,0.7
E12000006,East of England,region,1/7/2021,0.6
E12000006,East of England,region,1/6/2021,0.4
E12000006,East of England,region,1/5/2021,0.2
E12000006,East of England,region,1/4/2021,0.1
E12000006,East of England,region,1/3/2021,0.1
E12000007,London,region,10/10/2021,58.2
E12000007,London,region,10/9/2021,58.2
E12000007,London,region,10/8/2021,58.1
E12000007,London,region,10/7/2021,58.1
E12000007,London,region,10/6/2021,58
E12000007,London,region,10/5/2021,58
E12000007,London,region,10/4/2021,57.9
E12000007,London,region,10/3/2021,57.9
E12000007,London,region,10/2/2021,57.8
E12000007,London,region,10/1/2021,57.8
E12000007,London,region,9/30/2021,57.7
E12000007,London,region,9/29/2021,57.7
E12000007,London,region,9/28/2021,57.6
E12000007,London,region,9/27/2021,57.5
E12000007,London,region,9/26/2021,57.5
E12000007,London,region,9/25/2021,57.4
E12000007,London,region,9/24/2021,57.3
E12000007,London,region,9/23/2021,57.3
E12000007,London,region,9/22/2021,57.2
E12000007,London,region,9/21/2021,57.1
E12000007,London,region,9/20/2021,57
E12000007,London,region,9/19/2021,57
E12000007,London,region,9/18/2021,56.9
E12000007,London,region,9/17/2021,56.8
E12000007,London,region,9/16/2021,56.7
E12000007,London,region,9/15/2021,56.6
E12000007,London,region,9/14/2021,56.5
E12000007,London,region,9/13/2021,56.4
E12000007,London,region,9/12/2021,56.3
E12000007,London,region,9/11/2021,56.2
E12000007,London,region,9/10/2021,56
E12000007,London,region,9/9/2021,55.9
E12000007,London,region,9/8/2021,55.8
E12000007,London,region,9/7/2021,55.6
E12000007,London,region,9/6/2021,55.5
E12000007,London,region,9/5/2021,55.3
E12000007,London,region,9/4/2021,55.2
E12000007,London,region,9/3/2021,55
E12000007,London,region,9/2/2021,54.9
E12000007,London,region,9/1/2021,54.7
E12000007,London,region,8/31/2021,54.5
E12000007,London,region,8/30/2021,54.3
E12000007,London,region,8/29/2021,54.2
E12000007,London,region,8/28/2021,54
E12000007,London,region,8/27/2021,53.8
E12000007,London,region,8/26/2021,53.6
E12000007,London,region,8/25/2021,53.4
E12000007,London,region,8/24/2021,53.1
E12000007,London,region,8/23/2021,52.9
E12000007,London,region,8/22/2021,52.6
E12000007,London,region,8/21/2021,52.4
E12000007,London,region,8/20/2021,52.1
E12000007,London,region,8/19/2021,51.9
E12000007,London,region,8/18/2021,51.6
E12000007,London,region,8/17/2021,51.3
E12000007,London,region,8/16/2021,51
E12000007,London,region,8/15/2021,50.7
E12000007,London,region,8/14/2021,50.5
E12000007,London,region,8/13/2021,50.2
E12000007,London,region,8/12/2021,49.9
E12000007,London,region,8/11/2021,49.6
E12000007,London,region,8/10/2021,49.3
E12000007,London,region,8/9/2021,49
E12000007,London,region,8/8/2021,48.7
E12000007,London,region,8/7/2021,48.5
E12000007,London,region,8/6/2021,48.2
E12000007,London,region,8/5/2021,47.9
E12000007,London,region,8/4/2021,47.6
E12000007,London,region,8/3/2021,47.3
E12000007,London,region,8/2/2021,47.1
E12000007,London,region,8/1/2021,46.8
E12000007,London,region,7/31/2021,46.6
E12000007,London,region,7/30/2021,46.3
E12000007,London,region,7/29/2021,46
E12000007,London,region,7/28/2021,45.6
E12000007,London,region,7/27/2021,45.4
E12000007,London,region,7/26/2021,45.1
E12000007,London,region,7/25/2021,44.8
E12000007,London,region,7/24/2021,44.6
E12000007,London,region,7/23/2021,44.2
E12000007,London,region,7/22/2021,43.9
E12000007,London,region,7/21/2021,43.5
E12000007,London,region,7/20/2021,43.2
E12000007,London,region,7/19/2021,42.9
E12000007,London,region,7/18/2021,42.7
E12000007,London,region,7/17/2021,42.4
E12000007,London,region,7/16/2021,42
E12000007,London,region,7/15/2021,41.7
E12000007,London,region,7/14/2021,41.4
E12000007,London,region,7/13/2021,41.1
E12000007,London,region,7/12/2021,40.8
E12000007,London,region,7/11/2021,40.6
E12000007,London,region,7/10/2021,40.5
E12000007,London,region,7/9/2021,40.1
E12000007,London,region,7/8/2021,39.9
E12000007,London,region,7/7/2021,39.6
E12000007,London,region,7/6/2021,39.3
E12000007,London,region,7/5/2021,39.1
E12000007,London,region,7/4/2021,38.8
E12000007,London,region,7/3/2021,38.7
E12000007,London,region,7/2/2021,38.3
E12000007,London,region,7/1/2021,38.1
E12000007,London,region,6/30/2021,37.7
E12000007,London,region,6/29/2021,37.4
E12000007,London,region,6/28/2021,37.2
E12000007,London,region,6/27/2021,36.9
E12000007,London,region,6/26/2021,36.7
E12000007,London,region,6/25/2021,36.3
E12000007,London,region,6/24/2021,36
E12000007,London,region,6/23/2021,35.7
E12000007,London,region,6/22/2021,35.4
E12000007,London,region,6/21/2021,35.2
E12000007,London,region,6/20/2021,35
E12000007,London,region,6/19/2021,34.8
E12000007,London,region,6/18/2021,34.4
E12000007,London,region,6/17/2021,34.1
E12000007,London,region,6/16/2021,33.8
